"Tuesday, November 14"
"184: Bryce Carr (Chattanooga) dec. Noah Stewart (Army), 8-3"

"197: Scottie Boykin (Chattanooga) md. Mark Tracy (Binghamton), 8-0"

"285: Thomas Haines (Lock Haven) fall. Razohnn Gross (Rutgers), 1:20"



"Lehigh 27, Michigan 8"
"125: Darian Cruz, LEH dec. Drew Mattin, MICH, 7-0"

"133: Scotty Parker, LEH fall. Mike Volyanyuk, MICH, 5:33"

"141: Luke Karam, LEH dec. Sal Profaci, MICH, 9-2"

"149: Courtland Schuyler, LEH dec. Malik Amine, MICH, 8-3"

"157: Ian Brown, LEH dec. Alec Pantaleo, MICH, 7-5"

"165: Logan Massa, MICH tf. Cole Walter, LEH, 17-3"

"174: Jordan Kutler, LEH dec. Myles Amine, MICH, 5-4"

