"Tuesday, November 14"
"149: Colton McCrystal (NEB) dec. Sam Turner (WYO), 7-3 "

"157: Tyler Berger (NEB) dec. Archie Colgan (WYO), 5-4 "

"165: Isaiah White (NEB) dec. Branson Ashworth (WYO), 7-5 "

"174: Kyle Pope (WYO) major dec. Eric Engler (NEB), 15-6 "

"184: Taylor Venz (NEB) tech fall Chaz Polson (WYO), 18-2 "

"197: Eric Schultz (NEB) dec. Cody Vigoren (NEB), 7-3 "

"HWT: David Jensen (NEB) tech. fall Hunter Mullins (WYO), 17-2"



"Penn State 40, Binghamton 2"

"125: Joe Nelson BU dec. Devin Schnupp PSU, 7-4 "

"133: Corey Keener PSU dec. Jacob Nicholson BU, 10-4 "

"141: Jered Cortez PSU maj. dec. Joe Russ BU, 12-2 "

"149: Zain Retherford PSU pinned Frankie Garcia BU, WBF (2:37) "

"157: Jason Nolf PSU pinned Tristan Rifanburg BU, WBF (4:23) "

"165: Vincenzo Joseph PSU maj. dec. Vincent DePrez BU, 13-2 "

"174: Mark Hall PSU pinned Anthony Lombardo BU, WBF (3:14)"

"184: Bo Nickal PSU maj. dec. Steven Schneider BU, 15-6 "

"197: Anthony Cassar PSU dec. Mark Tracy BU, 10-4 "

"285: Nick Nevills PSU maj. dec. Connor Calkins BU, 12-3"

*Binghamton was deducted a team point



"Virginia 30, Gardner-Webb 11"

"125: Louie Hayes (UVA) pinned Keegan Duncan, 2:48 ? UVA 6, GWU 0"

"133: Jack Mueller (UVA) tech fall Philip Anderson (GWU), 18-1 (2:32) "

"149: Sam Krivus (UVA) major dec. Joby Armenta (GWU), 11-2"

"157: Tyler Marinelli (GWU) tech fall Fred Greeb(UVA), 18-1 (5:00) "

"165: Andrew Atkinson (UVA) pinned Brett Stein (GWU), 1:43 "

"174: Will Schany (UVA) dec. Christian Maroni (GWU), 9-7"

"184: Cole Graves (GWU) dec. Jack Walsh (UVA), 5-2 "

"197: Jay Aiello (UVA) dec. Anthony Perrine (GWU), 6-0 "

"285: Tyler Love (UVA) dec. Lathan Bumgarner (GWU), 5-2 "



"Lehigh 27, Edinboro 14"

285: Jordan Wood (Lehigh) major dec. Jon Spaulding (Edinboro) 9-0

"125: Sean Russell (Edinboro) tech fall Aaron Burkett (Lehigh) 19-4, 5:29"

133: Scotty Parker (Lehigh) Fall Korbin Myers (Edinboro) 5:33

141: Luke Karam (Lehigh) dec. Nate Hagan (Edinboro) 6-1

149: Peter Pappas (Edinboro) dec. Jonathan Mele (Lehigh) 11-10

157: Andrew Shomers (Edinboro) dec. Ian Brown (Lehigh) 5-3

165: Gordon Wolf (Lehigh) major dec. Austin Matthews (Edinboro) 16-8

174: Jordan Kutler (Lehigh) major dec. Fritz Hoehn (Edinboro) 14-5

184: Dylan Reynolds (Edinboro) dec. Andrew Price (Lehigh) 5-2

197: Jake Jakobsen (Lehigh) Fall Aaron Paddock (Edinboro) 0:52



"Buffalo 30, Iowa Central 15 "

"125: Kyle Akins (Buffalo) tech fall Jeremiah Colon (Iowa Central), 15-0"

"133: Todd Small (Iowa Central) dec. Justin Patrick (Buffalo), 6-5"

"141: Eric Clarke (Iowa Central) dec Bryan Lantry (Buffalo), 6-5"

"149: Riley Palmer (Iowa Central) dec Jason Estevez (Buffalo), 8-3"

"157: Kobe Garrehy (Buffalo) tech fall Alex Leone (Iowa Central), 15-0"

165: Derek Holcomb (Buffalo) FALL Tyler Helfrich-Meyers (Iowa Central) 

174: Austin Weigel (Buffalo) tech fall Jonah Eglie (Iowa Central)

184: Brett Perry (Buffalo) tech fall Brady Vogel (Iowa Central)

197: Joe Ariola (Buffalo) wins by forfeit 

285: Jake Gunning (Buffalo) maj dec. Jordan Hill (Iowa Central) 



"Central Michigan 31, Michigan State 9"

"125: Rayvon Foley (MSU) dec. Drew Hildebrandt (CMU), 9-6"

"133: Nathan Ellis (MSU) dec. Deven Perez (CMU), 3-1 SV-1"

"141: Mason Smith (CMU) tech. fall Alex Hrisopoulos  (MSU), 16-0"

"149: Justin Oliver (CMU) maj. dec. Austin Thompson (MSU), 15-2"

"157: Colin Heffernan (CMU) maj. dec. Jake Tucker (MSU), 18-5"

"165: Logan Parks (CMU) dec. Logan Ritchie (MSU), 8-3"

"174: Austin Hiles (MSU) dec. CJ Brucki (CMU), 12-10"

"184: Jordan Ellingwood (CMU) fall Nick May (MSU), 3:24"

"197: Jordan Atienza (CMU) dec. Shwan Shadaia (MSU), 1-0"

"285: Matt Stencel (CMU) fall Christian Rebottaro (MSU), 1:11"



"Minnesota 20, South Dakota State 12"

"184: Owen Webster (Minnesota) dec Martin Mueller (SDSU), 6-2 "

"197: Brady Ayers (SDSU) dec. Bobby Steveson (Minnesota), 8-6 SV-1"

"285: Rylee Streifel (Minnesota) dec Alex Macki (SDSU), 4-1"

"125: Ethan Lizak (Minnesota) maj dec Connor Brown (SDSU), 11-0"

"133: Seth Gross (SDSU) dec Mitch McKee (Minnesota), 9-4"

"141: Tommy Thorn (Minnesota) maj dec Henry Pohlmeyer (SDSU),13-4 "

"149: Hunter Marko (Minnesota) dec Colten Carlson (SDSU), 3-2"

157: Luke Zilverberg (SDSU) dec Jake Short (Minnesota)  5-2 

"165: Nick Wanzek (Minnesota) dec Zach Carlson (SDSU), 8-5 "

"174: David Kocer (SDSU) dec Chris Pfarr (Minnesota), 6-2"



"Virginia Tech 28, Chattanooga 7"

"125 : Kyle Norstrem (VT) MD Alonzo Allen (Chattanooga), 17-6"

"133: Dennis Gustafson (VT) dec. TF Wade Cummings (Chattanooga),17-1 (4:38)"

"141: Michael Pongracz (Chattanooga) dec. Brent Moore (VT), 10-2"

"149: Solomon Chishko (VT) dec. Roman Boylen (Chattanooga),3-1"

"157: B.C. LaPrade (VT) MD Dylan Forzani (Chattanooga),17-4"

"165: David McFadden (VT) dec. Chad Pyke (Chattanooga), 9-4"

"174: Justin Lampe (Chattanooga) dec. Hunter Bolen (VT), 6-4"

"184: Zack Zavatsky (VT) dec. Bryce Carr (Chattanooga), 3-1 (SV)"

"197: Jared Haught (VT)  dec. Scottie Boykin (Chattanooga), 10-8"

"285: Andrew Dunn (VT) dec. Connor Tolley (Chattanooga), 5-2"



"Pitt 21, CSU Bakersfield 18"

"125: Sergio Mendez (CSUB) dec. Brendan Price (UP), 9-5 "

"133: Sean Nickell (CSUB) tech. fall Jake Cherry (UP), 15-0, 3:55 "

"141: Russell Rohlfing (CSUB) def. Nick Zanetta (UP), SV-1, 7-5"

"149: Robert Lee (UP) dec. Kalani Tonge (CSUB), 8-1"

